var1	var2	var3
628.8363186	749.1089206	224.9746595
55.64962013	548.8542094	15.50638901
120.5816442	815.7265041	275.6662342
775.5921369	985.927856	768.0896174
75.63208283	977.5817529	669.7497382
173.5294071	554.7185319	411.3312131
412.5854597	236.727313	126.6259772
321.621026	53.6822289	541.8837194
43.70976898	196.3739505	247.0580806
840.5322739	319.4790901	80.08884649
968.1385649	533.740535	668.676544
405.5158412	786.9847892	798.9714499
110.3313402	64.84642141	479.4699255
970.134284	959.6307148	731.259049
936.4628362	713.1196284	649.0915893
993.1415431	893.9258567	59.49335187
113.9040713	16.55311931	846.0954605
712.3261003	46.07393975	570.5324696
157.6934441	617.1979258	79.66200281
831.0710589	522.1472791	895.8439186
390.8950482	265.7275632	874.160103
484.349538	54.57756618	922.3576875
325.6151355	749.3604794	532.147176
553.7732324	45.35009021	846.2594855
256.7826205	190.6333225	393.6369044
658.3531225	764.0445695	634.0343679
891.0776362	616.5463868	914.7530625
86.74245285	354.2070373	157.3689979
740.4791627	596.5450424	419.6868058
342.0731148	745.2333704	95.20079072
