company_id,sales,ebitda,net_income,assets,debt,equity,country,sector,employees,years_operating,country_risk,gdp_growth,interest_rate,ev_ebitda,p_e,ev_sales,ev,has_license,environmental_score,op_efficiency,market_share,total_assets_reported
1,124.8357077,27.78361076,-5,104.1221544,16.57755925,270.7985655,Argentina,Retail,1589,7,4.316644508,-1.852994631,8.922553896,7.399363715,15.58520518,2.249592006,196.5890804,0,,96.53632321,528.8624186,113.1044771
2,93.08678494,14.48814284,3.116919914,64.74913106,31.07207499,158.5291125,Mexico,Retail,699,48,5.300863208,-0.008237926,6.59304479,5.643126574,16.21913463,2.001677027,92.80056906,0,,93.46674483,466.9552832,67.001959
3,132.3844269,11.81801117,6.691155733,50,21.73819449,202.7392231,Colombia,Retail,740,40,5.973133955,2.91431703,3.352286541,7.16553033,8.783206312,2.465743181,90.28593695,0,,101.1423568,518.5868014,51.40198953
4,176.1514928,19.96625543,25.10150126,241.2998912,33.56012544,156.9878421,Peru,Technology,286,42,5.756536478,4.329497185,5.148008261,10.74158367,15.40020635,2.41766945,209.0189275,0,,105.6965056,553.9215372,248.324236
5,88.29233126,18.29815377,14.452425,178.5932302,43.57549068,103.2866633,Peru,Finance,1091,46,6.711305868,0.661712412,5.200931091,8.141729994,21.61202162,0.624190907,148.8676015,0,,88.89110414,488.8760933,187.3943069
6,88.29315215,15.46771951,-0.683852553,237.9405398,75.11463459,10,Chile,Manufacturing,864,11,3.991282046,2.142589506,9.003851331,11.86131652,6.003216594,4.020277989,197.5105719,0,,100.4373148,503.4061425,239.0295861
7,178.9606408,26.96387447,13.88829032,269.0472686,40.36522884,164.3818981,Argentina,Technology,977,34,3.031933711,-2.175702952,3.137430194,9.475869853,19.13291983,1.516623277,274.5862738,0,,115.7464501,524.1889417,288.7784629
8,138.3717365,29.55305209,-2.378431912,226.5616993,2.431228797,95.70753768,Chile,Energy,463,12,4.7545632,4.235710068,10.29068646,6.710382127,21.87398985,1.547601615,200.9061159,0,,102.5907928,527.5667108,223.8067303
9,76.5262807,20.88406886,18.66152843,265.7763176,84.20203539,93.97652157,Mexico,Technology,58,45,2.553715601,1.548833709,9.610072902,8.102152609,12.19721327,2.171446748,142.6131012,0,,100.855658,543.9226786,279.2738884
10,127.1280022,34.77530081,6.231002785,193.0467714,24.88729599,115.0708921,Colombia,Finance,469,47,3.444255617,3.242705981,3.863069182,6.293563764,23.47087879,2.391665153,221.833444,0,,109.8836043,449.2812522,196.9791649
11,76.82911536,8.583108859,9.25091049,81.30066117,48.23838719,272.1402985,Peru,Energy,78,27,3.039440276,3.355529607,9.191643818,6.663133939,11.54831469,3.958979817,66.53788523,0,,113.3341212,473.5538749,81.85980097
